content,label
mong ad điều_chỉnh,0
chất_lượng sản_phẩm tuyệt_vời,2
nhưq mìh áo đen logo trắq giao áo trắq logo đen,1
chất_lượng giấy mềm_mại,2
sp giá tiền,2
đóng_gói sản_phẩm đẹp gối êm to lựa màu vs bé,2
shop phục_vụ ảnh,2
sim kích_hoạt 20,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng shop phục_vụ đóng_gói sản_phẩm đẹp,2
chất áo đẹp dáng ok tội mặc hơi ngứa 1 tí đóng_gói sản_phẩm đẹp giao hàng,2
k full man hinh vien kcl k vat nhu mo ta vuot rat can kinh nho che mat 1 phan man hinh 1 vi mo ta sp k trung thuc,0
nguoi đừng mua,0
tiếp mấy,2
áo dáng đẹp,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp sácg,2
,2
đường_chỉ hơi nhăn chất_liệu nilon form mặc đẹp,2
vải ko mấy áo 35 k chợ đêm,1
nhắn_tin đọc k thèm trả_lời,0
chất dày_dặn đẹp ưng lắm,2
giá ok,2
ủng_hộ shop lâu_dài,2
e hài_lòng sản_phẩm a zaka petshop,2
dày k chê,2
mua sale 55 k công_nhận k sale xấu nha,2
áo đen 3 nút mặc mát,1
chất_lượng sản_phẩm mỏng,1
mac len u40,1
sợi dây_buộc hơi lỏng,1
lỗi giải_quyết gọn,2
tiền đóng_gói sản_phẩm đẹp giao hàng,2
free size giao 2 cai size s xiu ko mặc duoc cai nao chán,0
áo chất vải mát tội rộng,1
shop làm_ăn uy_tín,2
thất_vọng ko hình chất_lượng sản_phẩm tạm,0
tạm đóng_gói sản_phẩm đẹp,1
ủng_hộ dài_dài,2
thoi gian giao hoi chậm nhung sp ok,2
size hơi bt mua s l chật,0
nt_shop k thèm tl,0
tất_nhiên chất vải đồng_đều lắm,0
sản_phẩm 5 vs 6 viên gỗ bình_thường,0
dép đẹp,2
vải ok đen shop giao đỏ,0
dc hàng,2
áo nguc bé size 40 ma nhu size 36 y đóng_gói sản_phẩm đẹp,2
sản_phẩm thế_này mặc đc í đừng xấu xấu,0
đc mã giảm_giá,1
zậy,1
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời wúa xênh_shop phục_vụ tiền,2
hóa_ra,0
túi cứng_cáp ok,2
áo hơi mỏng đc,2
lưng to hơi chật xíu,2
shop phục_vụ tiền giao hàng,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp tiền vải đẹp ủng_hộ shop hoài,2
chat lieu tuong doi phu hop voi gia,2
giao hàng chậm v,0
ko màu shop,0
shop nhiệt_tình chú_ý chất_lượng sản_phẩm,2
vải hơi tệ,1
hạt giòn ngon,2
chất_liệu da vs đường may k rẻ shop điêu rối,2
áo đẹp may hơi chặt vòng ngực mặc kích ko nàng ngực bự mặc,1
áo mặc dễ_thương,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp hàng mặc ok đẹp,2
giặt áo phai_màu kinh_khủng giặt 3 phai đen_ngòm,0
hồng vải mặc ok màu đen vải thô qá mặc cứng,0
áo chất mịn đẹp,2
hành mô_tả giao hàng bịch hút chân vệ_sinh,2
giao hàng hơi váy ổn,2
